City served / location;ICAO;Airport name;Usage
Calais / Dunkirk;LFAC;Calais–Dunkerque Airport;Public
Calvi / Sainte-Catherine;LFKC;Calvi – Sainte-Catherine Airport;Public
Cambrai / Épinoy;LFQI;Cambrai - Épinoy Air Base (BA 103);Military
Cambrai / Niergnies;LFYG;Cambrai-Niergnies Airport;Public
Cannes / Mandelieu-la-Napoule;LFMD;Cannes – Mandelieu Airport;Public
Cannes / Promenade de la Croisette;;Cannes - La Croisette Heliport;
Carcassonne / Salvaza;LFMK;Carcassonne Airport;Public
Carpentras;LFNH;Carpentras Airport;Public
Cassagnes-Bégonhès;LFIG;Cassagnes-Bégonhès Airport;Public
Castelnaudary / Villeneuve-la-Comptal;LFMW;Castelnaudary – Villeneuve Airport;Public
Castelnau-Magnoac;LFDQ;Castelnau-Magnoac Aerodrome;Restricted
Castelsarrasin / Moissac;LFCX;Castelsarrazin - Moissac Airport;Public
Castres / Mazamet;LFCK;Castres–Mazamet Airport;Public
Cazaux / La Teste-de-Buch;LFBC;Cazaux Air Base (BA 120);Military
Cazères / Palaminy;LFJH;Cazères - Palaminy Aerodrome;Restricted
Cessey / Baigneux-les-Juifs;LFSY;Cessey Airport;Private
Chalais;LFIH;Chalais Airport;Public
Châlons-en-Champagne / Écury-sur-Coole;LFQK;Châlons - Écury-sur-Coole Airport;Public
Châlons-en-Champagne / Vatry;LFOK;Châlons Vatry Airport;Public
Chalon-sur-Saône / Champforgeuil;LFLH;Chalon – Champforgeuil Airport;Public
Chambéry / Aix-les-Bains;LFLB;Chambéry Airport;Public
Chambéry / Challes-les-Eaux;LFLE;Chambéry Aerodrome;Public
Champagnole / Crotenay;LFGX;Champagnole - Crotenay Aerodrome;Restricted
Charleville-Mézières;LFQV;Charleville-Mézières Aerodrome (UAF);Public
Chartres / Champhol;LFOR;Chartres – Champhol Aerodrome;Public
Château-Arnoux-Saint-Auban;LFMX;Château-Arnoux-Saint-Auban Airport;Public
Châteaubriant / Pouancé;LFTQ;Châteaubriant - Pouancé Aerodrome;Restricted
Châteaudun;LFOC;Châteaudun Airport (BA 279);Public/mil.
Châteauneuf-sur-Cher;LFFU;Châteauneuf-sur-Cher Airport;Public
Châteauroux / Déols;LFLX;"Châteauroux-Centre ""Marcel Dassault"" Airport";Public
Châteauroux / Villers-les-Ormes;LFEJ;Châteauroux - Villers Airport;Public
Château-Thierry / Belleau;LFFH;Château-Thierry – Belleau Aerodrome;Restricted
Châtellerault / Targe;LFCA;Châtellerault - Targe Airport;Public
