City served / location;ICAO;Airport name;Usage
Saint-Florentin / Chéu;LFGP;Saint-Florentin - Chéu Airport;Public
Saint-Flour / Coltines;LFHQ;Saint-Flour - Coltines Airport;Public
Saint-Galmier;LFKM;Saint-Galmier Aerodrome;Restricted
Saint-Gaudens / Montréjeau;LFIM;Saint-Gaudens - Montréjeau Airport;Public
Saint-Girons / Antichan;LFCG;Saint-Girons - Antichan Airport;Public
Saint-Jean-d'Angély / Saint-Denis-du-Pin;LFIY;Saint-Jean-d'Angély - Saint-Denis-du-Pin Aerodrome;Restricted
Saint-Jean-d'Avelanne;LFKH;Saint-Jean-d'Avelanne Aerodrome;Restricted
Saint-Jean-en-Royans;LFKE;Saint-Jean-en-Royans Aerodrome;Restricted
Saint-Junien;LFBJ;Saint-Junien Maryse Bastié Airport;Public
Saint-Martin-de-Londres;LFNL;Saint-Martin-de-Londres Aerodrome;Restricted
Saint-Nazaire / Montoir-de-Bretagne;LFRZ;Saint-Nazaire Montoir Airport (UAF);Public
Saint-Omer / Wizernes;LFQN;Saint-Omer - Wizernes Airport;Public
Saint-Pierre-d'Oléron;LFDP;Saint-Pierre-d'Oléron Airport;Public
Saint-Quentin / Roupy;LFOW;Saint-Quentin - Roupy Airport;Public
Saint-Rambert-d'Albon;LFLR;Saint-Rambert-d'Albon Airport;Public
Saint-Rémy-de-Maurienne;LFKR;Saint-Rémy-de-Maurienne Aerodrome;Restricted
Saint-Servan / Saint-Malo;LFEO;Saint-Servan Airport;
Saint-Simon / Clastres;LFYT;Saint-Simon – Clastres Air Base;Military
Saint-Tropez / La Môle;LFTZ;La Môle – Saint-Tropez Airport;Restricted
Saint-Tropez / Le Pilon;LFTT;Saint-Tropez - Le Pilon Heliport;
Saint-Valery-en-Caux/ Vittefleur;LFOS;Saint-Valery - Vittefleur Airport;Public
Saint-Yan;LFLN;Saint-Yan Airport;Public
Sallanches;LFHZ;Sallanches Aerodrome;Restricted
Salon-de-Provence;LFMY;Salon-de-Provence Air Base (BA 701);Military
Salon-de-Provence / Eyguières;LFNE;Salon - Eyguières Airport;Public
Sari-Solenzara;LFKS;Solenzara Air Base (BA 126);Military
Sarlat-la-Canéda / Domme;LFDS;Sarlat - Domme Airport;Public
Sarrebourg / Buhl;LFGT;Sarrebourg - Buhl Airport;Public
Sarreguemines / Neunkirch;LFGU;Sarreguemines - Neunkirch Airport;Public
Sarre-Union;LFQU;Sarre-Union Aerodrome;Restricted
Saulieu / Liernais;LFEW;Saulieu - Liernais Airport;Public
Saumur / Saint-Florent-le-Vieil;LFOD;Saumur - Saint-Hilaire - Saint-Florent Aerodrome (UAF);Public
Saverne / Steinbourg;LFQY;Saverne - Steinbourg Aerodrome;Restricted
Sedan / Douzy;LFSJ;Sedan - Douzy Airport;Public
Semur-en-Auxois;LFGQ;Semur-en-Auxois Airport;Public
Serres / La Bâtie-Montsaléon;LFTM;Serres - La Bâtie-Montsaléon Aerodrome;Restricted
Sézanne / Saint-Remy-sous-Broyes;LFFZ;Sézanne - Saint-Remy Airport;Public
Sisteron / Thèze;LFNS;Sisteron - Thèze Aerodrome;Restricted
Soissons / Courmelles;LFJS;Soissons - Courmelles Airport;Public
Sollières-Sardières;LFKD;Sollières-Sardières Aerodrome;Restricted
Soulac-sur-Mer;LFDK;Soulac-sur-Mer Airport;Public
Strasbourg / Entzheim;LFST;Strasbourg Airport (BA 124);Public/mil.
Strasbourg / Neuhof;LFGC;Strasbourg - Neuhof Airport;Public
Tarbes / Laloubère;LFDT;Tarbes - Laloubère Airport;Public
Tarbes / Lourdes;LFBT;Tarbes–Lourdes–Pyrénées Airport;Public
Thionville / Yutz;LFGV;Thionville - Yutz Airport;Public
Thouars;LFCT;Thouars Airport;Public
Til-Châtel;LFET;Til-Châtel Airport;Public
Toul / Rosières-en-Haye;LFSL;Toul-Rosières Air Base (BA 136);Military
Toulon / Hyères / Le Palyvestre;LFTH;Toulon–Hyères Airport;Public
Toulouse / Balma;LFCL;Toulouse – Lasbordes Airport;Public
Toulouse / Blagnac;LFBO;Toulouse–Blagnac Airport;Public
Toulouse / Bourg-Saint-Bernard;LFIT;Toulouse - Bourg-Saint-Bernard Aerodrome;Restricted
Toulouse / Francazal;LFBF;Toulouse - Francazal Air Base (BA 101);Military
Toulouse / Montaudran;LFIO;Toulouse - Montaudran Airport;
Tournus / Cuisery;LFFX;Tournus - Cruisery Aerodrome;Restricted
Tours / Le Louroux;LFJT;Tours - Le Louroux Aerodrome;Restricted
Tours / Loire Valley;LFOT;Tours Val de Loire Airport;Public
Tours / Sorigny;LFEN;Tours - Sorigny Airport;Public
Toussus-le-Noble;LFPN;Toussus-le-Noble Airport;Public
Troyes / Barberey-Saint-Sulpice;LFQB;Troyes – Barberey Airport;Public
Ushant;LFEC;Ouessant Airport;Public
Ussel / Thalamy;LFCU;Ussel - Thalamy Airport;Public
Uzès;LFNU;Uzès Aerodrome;Restricted
Valdahon;LFXH;Valdahon Air Base;Military
Valence / Chabeuil;LFLU;Valence-Chabeuil Airport;Public
Valenciennes / Denain;LFAV;Valenciennes-Denain Airport;Public
Valréas / Visan;LFNV;Valréas - Visan Airport;Public
Vannes / Meucon;LFRV;Vannes Airport;Public
Vauville;LFAU;Vauville Aerodrome;Restricted
Vélizy-Villacoublay;LFPV;Vélizy – Villacoublay Air Base (BA 107);Military
Vendays-Montalivet;LFIV;Vendays-Montalivet Aerodrome;Restricted
Verdun / Le Rozelier;LFGW;Verdun-Le-Rozelier Airport;Public
Vesoul / Frotey;LFQW;Vesoul - Frotey Airfield;Public
Vichy / Charmeil;LFLV;Vichy — Charmeil Airport;Public
Vienne / Reventin-Vaugris;LFHH;Vienne - Reventin Airport;Public
Vierzon / Méreau;LFFV;Vierzon - Méreau Aerodrome;Restricted
Villefranche-de-Rouergue;LFCV;Villefranche-de-Rouergue Airport;Public
Villefranche-sur-Saône / Tarare;LFHV;Villefranche – Tarare Airport;Public
Villeneuve-sur-Lot;LFCW;Villeneuve-sur-Lot Airport;Public
Villerupt;LFAW;Villerupt Aerodrome;Restricted
Vinon-sur-Verdon;LFNF;Vinon Airport;Public
Vitry-en-Artois;LFQS;Vitry-En-Artois Airport;Public
Vitry-le-François / Vauclerc;LFSK;Vitry-le-François - Vauclerc Airport;Public
Vittel / Auzainvilliers;LFXC;Vittel - Auzainvilliers Airport (military);
Vittel / Champ de Courses;LFSZ;Vittel - Champ-de-Courses Airport;
